Year,Value
2024,3.398
2023,3.402
2022,3.409
2021,3.935
2020,3.994
2019,2.917
2018,2.802
2017,2.662
2016,2.554
2015,2.443
2014,2.359
2013,2.251
2012,2.255
2011,2.275
2010,2.3
2009,2.331
2008,2.335
2007,2.347
2006,2.351
2005,2.497
2004,2.767
2003,2.995
2002,3.06
2001,3.176
2000,3.5
1999,3.714
1998,3.494
1997,3.255
1996,3.146
1995,3.029
1994,3.1
1993,3.235
1992,3.379
1991,3.264
